"indicador"|"idn212"|"te"|"riest"|"significativamente_sup_uno"|"quintil"|"color"|"n_area"
"total_HPE"|"301"|16.3721|0.41032982|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Garrotxa"
"total_HPE"|"216"|20.531|0.66564494|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A. G. S. Norte de Malaga"
"total_HPE"|"215"|20.5527|0.6642343|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A.G.S. Norte de Huelva"
"total_HPE"|"156"|21.1003|0.68789536|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Toledo"
"total_HPE"|"232"|22.761|0.7373825|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Jaen Nordeste"
"total_HPE"|"217"|22.9768|0.7617602|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A.G.S. Este de Malaga-Axarqua"
"total_HPE"|"293"|23.0165|0.6157673|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Alta Ribagorza"
"total_HPE"|"157"|23.5411|0.76515806|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Puertollano-Almadena"
"total_HPE"|"229"|24.7568|0.81058216|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A. G. S. Norte de Almeria"
"total_HPE"|"224"|25.9033|0.8615168|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Malaga"
"total_HPE"|"99"|26.6598|0.85635763|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"La Gomera"
"total_HPE"|"222"|27.4524|0.9049051|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A. G. S. Sur de Granada"
"total_HPE"|"298"|28.8032|0.74518126|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Montsia"
"total_HPE"|"143"|28.8824|0.8939532|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Arriondo-Cangas de Onis"
"total_HPE"|"111"|29.0844|0.9520581|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Menorca"
"total_HPE"|"227"|29.2638|0.94918984|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Jaen"
"total_HPE"|"103"|29.3792|0.94266564|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Estella"
"total_HPE"|"239"|29.7078|0.9690704|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A. G. S. Serrania de Malaga"
"total_HPE"|"230"|30.519|0.98580873|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Jaen Norte"
"total_HPE"|"240"|31.4402|1.024006|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Metropolitano de Granada"
"total_HPE"|"141"|32.3899|1.0615343|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Oviedo"
"total_HPE"|"155"|33.5565|1.0814445|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Talavera de la Reina"
"total_HPE"|"288"|33.913|0.88242865|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Baix Llobregat Centre i Fontsanta -L' H N"
"total_HPE"|"51"|34.0909|1.1051072|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Valencia-Clinico"
"total_HPE"|"213"|34.2887|1.1068825|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Aljarafe"
"total_HPE"|"59"|34.5245|1.1180822|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Denia"
"total_HPE"|"278"|34.6599|0.904476|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Cerdanya"
"total_HPE"|"135"|35.6261|1.2107277|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Coria"
"total_HPE"|"134"|35.6423|1.1799301|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Caceres"
"total_HPE"|"255"|35.6442|1.1939846|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Son Dureta"
"total_HPE"|"259"|35.9046|1.1787655|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Noreste"
"total_HPE"|"112"|35.9248|1.160895|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"IbizaFor"
"total_HPE"|"137"|36.0526|1.1756896|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Plasencia"
"total_HPE"|"241"|36.0543|1.1780478|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Sevilla"
"total_HPE"|"101"|36.0679|1.1686416|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Pamplona"
"total_HPE"|"210"|36.4929|1.2145253|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Jaen Sur"
"total_HPE"|"62"|36.617|1.1801845|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"LaVila-Benidorm"
"total_HPE"|"294"|36.6662|0.9581902|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Barcelona Esquerra"
"total_HPE"|"96"|36.8559|1.292272|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Lanzarote"
"total_HPE"|"234"|36.9466|1.2039783|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"A. G. S. de Osuna"
"total_HPE"|"300"|37.0006|0.95424235|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Baix Emporda"
"total_HPE"|"97"|37.0105|1.198984|"#7e58bf"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Tenerife"
"total_HPE"|"98"|37.1471|1.2097793|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"La Palma"
"total_HPE"|"305"|37.171|0.9595973|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Girones Nord i Pla de l'Estany"
"total_HPE"|"153"|37.4937|1.2288201|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Cuenca"
"total_HPE"|"152"|37.5707|1.2273664|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Ciudad Real"
"total_HPE"|"214"|37.9595|1.2247108|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Almeria"
"total_HPE"|"226"|38.1613|1.2541773|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Huelva-Costa"
"total_HPE"|"102"|38.3031|1.2302734|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Tudela"
"total_HPE"|"296"|38.3387|0.99414706|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Altebrat"
"total_HPE"|"209"|38.5587|1.2533892|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Torrevieja"
"total_HPE"|"139"|39.0914|1.2911648|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Cangas de Nacea"
"total_HPE"|"302"|39.1459|0.99756944|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Ripolles"
"total_HPE"|"228"|39.2154|1.2908212|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Jerez-Costa Noroeste"
"total_HPE"|"283"|39.3613|1.0215515|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Baix Camp i Priorat"
"total_HPE"|"237"|39.5454|1.2659504|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Poniente de Almeria"
"total_HPE"|"48"|39.5471|1.287244|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Vinaros"
"total_HPE"|"321"|39.5904|1.2702914|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Arabako Errioxa"
"total_HPE"|"287"|39.8869|1.020332|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Osona"
"total_HPE"|"313"|39.9429|1.0175388|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Baix Llobregat Nord"
"total_HPE"|"219"|40.0216|1.289243|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Cordoba"
"total_HPE"|"218"|40.3654|1.3115778|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Bahia de Cadiz-La Janda"
"total_HPE"|"47"|40.398|1.3288592|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Uribe"
"total_HPE"|"316"|40.4793|1.0473516|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Baix Valles"
"total_HPE"|"297"|40.8707|1.0553087|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Baix Ebre"
"total_HPE"|"212"|41.3913|1.337599|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"A. G. S. Campo de Gibraltar"
"total_HPE"|"108"|41.417|1.2465451|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Altiplano-Yecla-Jumilla"
"total_HPE"|"276"|41.4176|1.3448274|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Elche-Crevillente"
"total_HPE"|"39"|41.4963|1.3427485|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Teruel"
"total_HPE"|"50"|41.6225|1.3539084|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Sagunto"
"total_HPE"|"318"|41.6704|1.0870215|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Barcelona Dreta"
"total_HPE"|"275"|41.69|1.3488561|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Bidasoa"
"total_HPE"|"317"|41.8243|1.0699263|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Valles Oriental Central"
"total_HPE"|"106"|41.9666|1.2692826|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Lorca"
"total_HPE"|"306"|42.0184|1.0791491|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Girones Sud i Selva Interior"
"total_HPE"|"65"|42.182|1.3667083|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Alicante-General"
"total_HPE"|"147"|42.3483|1.3821566|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Santander"
"total_HPE"|"231"|42.3955|1.3749474|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Cordoba Sur"
"total_HPE"|"221"|42.4211|1.3384433|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Condado-Campia"
"total_HPE"|"261"|42.5153|1.3797653|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Oeste"
"total_HPE"|"133"|42.7368|1.4081764|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Llerena-Zafra"
"total_HPE"|"154"|42.9081|1.3903568|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Guadalajara"
"total_HPE"|"150"|43.0977|1.4011889|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Albacete"
"total_HPE"|"206"|43.1111|1.4014088|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Castellon"
"total_HPE"|"37"|43.2938|1.4175482|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Zaragoza III-Clinico"
"total_HPE"|"33"|43.6004|1.4228885|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Huesca-Jaca"
"total_HPE"|"107"|43.6876|1.3154321|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Noroeste-Caravaca"
"total_HPE"|"235"|43.76|1.4243664|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Guadalquivir"
"total_HPE"|"291"|44.0495|1.1350952|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Maresme Central"
"total_HPE"|"257"|44.0786|1.4353338|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Centro-Norte"
"total_HPE"|"144"|44.292|1.4148402|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Mieres"
"total_HPE"|"54"|44.4108|1.4565822|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Requena"
"total_HPE"|"279"|44.4178|1.1038553|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Pallars"
"total_HPE"|"281"|44.6566|1.1539986|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Lleida"
"total_HPE"|"142"|44.7634|1.4487154|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Gijon"
"total_HPE"|"274"|45.0414|1.4622308|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Donostialdea"
"total_HPE"|"34"|45.1445|1.4804801|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Barbastro"
"total_HPE"|"309"|45.7554|1.1832025|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Alt Penedes"
"total_HPE"|"280"|45.786|1.1949389|"#b2abd2"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Aran"
"total_HPE"|"207"|45.9025|1.4881877|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"La Plana"
"total_HPE"|"244"|46.0164|1.5240831|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Son Llatzer"
"total_HPE"|"262"|46.5201|1.5217671|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Centro-Oeste"
"total_HPE"|"314"|46.6149|1.2095846|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Valles Occidental Oest"
"total_HPE"|"242"|47.0114|1.520116|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Sierra de Cadiz"
"total_HPE"|"236"|47.1285|1.5173556|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"A. G. S. Norte de Cordoba"
"total_HPE"|"247"|47.2685|1.5196329|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Valencia-La Fe"
"total_HPE"|"272"|47.9195|1.5471483|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Goierri-Urol"
"total_HPE"|"94"|47.9265|1.5631684|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Gran Canaria"
"total_HPE"|"238"|48.0983|1.5713339|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Sevilla Norte"
"total_HPE"|"304"|48.1662|1.272815|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Selva Maritima"
"total_HPE"|"245"|48.8838|1.5825919|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Inca"
"total_HPE"|"42"|48.9461|1.5751082|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Bilbo"
"total_HPE"|"254"|48.9697|1.5233548|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Vega Alta del Segura"
"total_HPE"|"299"|49.01|1.267589|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Alt Emporda"
"total_HPE"|"267"|49.1922|1.5967586|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Araba"
"total_HPE"|"60"|49.3153|1.5887922|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Xativa"
"total_HPE"|"61"|49.3448|1.6037568|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Alcoy"
"total_HPE"|"246"|49.4684|1.5983727|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Valencia-ArnauVilanova"
"total_HPE"|"130"|49.5486|1.6085302|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Badajoz"
"total_HPE"|"266"|49.6764|1.6222469|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Sur II"
"total_HPE"|"251"|50.1852|1.5158929|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Vega Media del Segura"
"total_HPE"|"269"|50.2669|1.6200466|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Barrualde-Galdakao"
"total_HPE"|"315"|50.3115|1.2862681|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Baix Montseny"
"total_HPE"|"56"|50.7146|1.6383625|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Valencia-Peset"
"total_HPE"|"248"|50.8895|1.655785|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Manises"
"total_HPE"|"40"|50.9356|1.6830995|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Alcañiz"
"total_HPE"|"320"|51.212|1.6606797|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Tolosaldea"
"total_HPE"|"38"|51.8718|1.6431012|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Calatayud"
"total_HPE"|"249"|52.3812|1.6255947|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Murcia Oeste"
"total_HPE"|"136"|52.9243|1.7466786|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Navalmoral de la Mata"
"total_HPE"|"57"|52.9957|1.7227074|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Alzira"
"total_HPE"|"282"|53.6801|1.3827727|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Alt Camp i Conca de Barbera"
"total_HPE"|"148"|53.8753|1.7522969|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Laredo"
"total_HPE"|"256"|54.2754|1.7693366|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Sur-Este"
"total_HPE"|"270"|54.3467|1.741165|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Ezkerraldea-Enkarterri-CR"
"total_HPE"|"284"|54.3532|1.4122355|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Baix Penedes"
"total_HPE"|"260"|54.3902|1.7603465|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Norte"
"total_HPE"|"36"|54.8142|1.79189|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Zaragoza II-Miguel Servet"
"total_HPE"|"308"|55.2056|1.4554821|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Bergueda"
"total_HPE"|"271"|55.3714|1.7702496|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Debabarrena"
"total_HPE"|"268"|55.5352|1.7995533|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Debagoiena"
"total_HPE"|"243"|55.6427|1.8127683|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Manacor"
"total_HPE"|"258"|56.2041|1.8292253|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Este"
"total_HPE"|"95"|56.4603|1.9183916|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Fuerteventura"
"total_HPE"|"250"|56.8844|1.7419808|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Cartagena"
"total_HPE"|"211"|57.3241|1.8481314|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Sevilla Sur"
"total_HPE"|"289"|58.1709|1.4864851|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"L'Hospitalet Sud i el Prat de Llobregat"
"total_HPE"|"277"|59.4617|1.5484022|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Alt Urgell"
"total_HPE"|"145"|60.382|1.9572833|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Langreo"
"total_HPE"|"132"|61.2642|2.002514|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Don Benito-V.Ser"
"total_HPE"|"295"|61.3206|1.6081204|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Barcelona Nord"
"total_HPE"|"292"|61.6123|1.5902516|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Valles Occidental Est"
"total_HPE"|"58"|61.7234|2.000055|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Gandia"
"total_HPE"|"149"|62.2306|2.0182602|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Torrelavega"
"total_HPE"|"303"|63.6266|1.6470262|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Alt Maresme"
"total_HPE"|"35"|65.0212|2.100756|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Zaragoza I-Royo Villanova"
"total_HPE"|"311"|65.8047|1.6752476|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Baix Llobregat Litoral i Viladecans"
"total_HPE"|"253"|66.1545|2.0803058|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Mar Menor"
"total_HPE"|"252"|67.1885|1.998199|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Murcia Este"
"total_HPE"|"208"|67.4624|2.174822|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Orihuela"
"total_HPE"|"140"|68.2799|2.1696627|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Aviles"
"total_HPE"|"151"|69.4682|2.2735524|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Alcazar-Tomelloso"
"total_HPE"|"100"|71.6018|2.391975|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"El Hierro"
"total_HPE"|"265"|72.0569|2.312891|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Sur I"
"total_HPE"|"290"|72.8554|1.86722|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Barcelones Nord i Baix Maresme"
"total_HPE"|"66"|75.5439|2.4365156|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Elche"
"total_HPE"|"264"|80.4456|2.5618062|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Sur-Oeste II"
"total_HPE"|"64"|81.2937|2.6334329|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Elda"
"total_HPE"|"223"|21.9325|0.73324543|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Costa del Sol"
"total_HPE"|"233"|24.2392|0.7922935|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Granada"
"total_HPE"|"225"|26.6822|0.85793287|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Granada Nordeste"
"total_HPE"|"220"|27.6446|0.9138616|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Valle del Guadalhorce"
"total_HPE"|"55"|30.9723|0.9998953|"#b2abd2"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Valencia-General"
"total_HPE"|"310"|33.3749|0.8693102|"#fdb863"|"Q1 (16.37 - 37.14)"|"#ffffd4"|"Garraf"
"total_HPE"|"138"|37.7643|1.1995097|"#7e58bf"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Jarrio-Valdes"
"total_HPE"|"307"|41.147|1.0484155|"#b2abd2"|"Q2 (37.14 - 44.68)"|"#fed98e"|"Bages i Solsones"
"total_HPE"|"286"|45.873|1.1840297|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Anoia"
"total_HPE"|"319"|46.0472|1.1792369|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Barcelona Litoral Mar"
"total_HPE"|"63"|46.1107|1.5005385|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Alicante-San Joan"
"total_HPE"|"146"|47.9328|1.5573821|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"La Rioja"
"total_HPE"|"312"|48.5153|1.2768153|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Baix Llobregat Litoral i Sant Boi"
"total_HPE"|"273"|49.5073|1.6075479|"#7e58bf"|"Q3 (44.68 - 52.35)"|"#fe9929"|"Barakaldo-Sestao"
"total_HPE"|"131"|53.8346|1.7441107|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Merida"
"total_HPE"|"285"|54.8|1.4218749|"#7e58bf"|"Q4 (52.35 - 63.64)"|"#d95f0e"|"Tarragones"
"total_HPE"|"263"|66.5955|2.145929|"#7e58bf"|"Q5 (63.64 - 115.28)"|"#993404"|"Sur-Oeste I"
"diabetes_HPE"|"278"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Cerdanya"
"diabetes_HPE"|"293"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Alta Ribagorza"
"diabetes_HPE"|"242"|0.1852|0.2699322|"#fdb863"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Sierra de Cadiz"
"diabetes_HPE"|"111"|0.2292|0.34828576|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Menorca"
"diabetes_HPE"|"156"|0.2719|0.35607317|"#fdb863"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Toledo"
"diabetes_HPE"|"272"|0.3315|0.4173082|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Goierri-Urol"
"diabetes_HPE"|"102"|0.349|0.44755587|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Tudela"
"diabetes_HPE"|"268"|0.4362|0.57600296|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Debagoiena"
"diabetes_HPE"|"281"|0.4488|0.5789606|"#fdb863"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Lleida"
"diabetes_HPE"|"320"|0.4634|0.63159275|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Tolosaldea"
"diabetes_HPE"|"231"|0.4668|0.6262554|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Cordoba Sur"
"diabetes_HPE"|"103"|0.4696|0.62919253|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Estella"
"diabetes_HPE"|"107"|0.4744|0.6348882|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Noroeste-Caravaca"
"diabetes_HPE"|"283"|0.4774|0.65803087|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Baix Camp i Priorat"
"diabetes_HPE"|"275"|0.479|0.62036645|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Bidasoa"
"diabetes_HPE"|"224"|0.4864|0.6497322|"#fdb863"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Malaga"
"diabetes_HPE"|"294"|0.4869|0.69873214|"#b2abd2"|"Q1 (0.0 - 0.76)"|"#ffffd4"|"Barcelona Esquerra"
